waktu,username,teks_bersih,kategori_isu,urgensi,sentimen,lokasi_insiden
𖹭,@seacillia,Kk mau duduk di depan atau di ujung belakang yang kalau ada jalan rusak langsung loncat itu? Apr 1,Infrastruktur & Jalan,Belum Dilabeli,Belum Dilabeli,Tidak diketahui
kuspuji handayani,@shllmgd,"Darjo itu bupati yang kapan hari bikin acara halal bihalal tema indiaan. Tapi dihujat sama rakyatnya sendiri, gara2 jalan rusak gak diperbaiki serius. Sampe2 rakyatnya rame ngetag kpk biar quattrick masuk kandang lagi. Apr 1",Infrastruktur & Jalan,Belum Dilabeli,Belum Dilabeli,Tidak diketahui
Moora,@starricious,"Ada banner tulisannya ""Sedang musim hujan, hati-hati banyak | Dino, Dokyeom, Vernon's Birthday Kit , kurangi kecepatan.""

Lah, JALAN BERLUBANGNYA JG DIBENERIN DULU DONGO, malah nyalahin ujan Apr 1",Infrastruktur & Jalan,Belum Dilabeli,Belum Dilabeli,Tidak diketahui
Jalan Rusak,@JalanRusakRI,Every day is a new opportunity to spread positivity and make someone smile Apr 1,Infrastruktur & Jalan,Belum Dilabeli,Belum Dilabeli,Tidak diketahui
Jalan Rusak,@JalanRusakRI,Just filed my taxes and feeling like a responsible adult Apr 1,Infrastruktur & Jalan,Belum Dilabeli,Belum Dilabeli,Tidak diketahui
Jalan Rusak,@JalanRusakRI,"I don't stress, I just chill and take things one step at a time. Apr 1",Infrastruktur & Jalan,Belum Dilabeli,Belum Dilabeli,Tidak diketahui
Jalan Rusak,@JalanRusakRI,Just over here avoiding social interactions and enjoying the sweet sound of silence Apr 1,Infrastruktur & Jalan,Belum Dilabeli,Belum Dilabeli,Tidak diketahui
Tetehnya pudu,@GiaPratamaMD,"Selain buat pendidikan & kesehatan, aku ikhlas bayar pajak buat perbaikan 3.3K jalan rusak khususnya daerah pelosok. Selain perbaikan jalan, saluran pembuangan airnya (semacam got dll) juga harus diperhatiin soalnya percuma kalo tiap bulan ada perbaikan jalan tp suka banjir/banyak Apr 1",Infrastruktur & Jalan,Belum Dilabeli,Belum Dilabeli,Tidak diketahui
kim,@iPoopBased,"ya bagus
tapi yakin nanti ketika menindak ga dimatiin body cam nya? ga alesan rusak babibu lupa mencet dll? videonya ga dipublish? 

cctv aja sering ""diminta"" paksa dan dimusnahkan
kadang cctv 2K jalan ""rusak ""
sipil/pers ngerekam dihalang-halangi bahkan dipersekusi (ketika demo Apr 1",Infrastruktur & Jalan,Belum Dilabeli,Belum Dilabeli,Tidak diketahui
EJA_Gamatrika,@poachegged,Ngga jir... Mana aku lagi rebahan dengan lampu mati like wtf Apr 1,Infrastruktur & Jalan,Belum Dilabeli,Belum Dilabeli,Tidak diketahui
Polantaskonut24,@polantaskonut24,Personil Sat lantas Polres Konut melaksanakan perbaikan jalan darurat(tambal cepat) beberapa titik jalan rusak /lobang yang membahayakan Pengguna jalan di jalan poros trans sulawesi Kel.Wanggudu agar bisa langsung dilalui pengguna jalan. Apr 1,Infrastruktur & Jalan,Belum Dilabeli,Belum Dilabeli,Tidak diketahui
Tribunnews.com,@tribunnews,"Santri Jadi Korban Kecelakaan, Alumni Gontor Desak Pemkab Ponorogo Segera Perbaiki Jalan Rusak Apr 1",Infrastruktur & Jalan,Belum Dilabeli,Belum Dilabeli,Tidak diketahui
Muhammad Lukman Thamrin,@LukmanInsights,"Kita sering bicara pembangunan.

Tapi kalau jalan rusak , sampah menumpuk, dan akses pendidikan, kesehatan, dll terbatas masih ada…

Apakah itu benar-benar pembangunan? Apr 1",Infrastruktur & Jalan,Belum Dilabeli,Belum Dilabeli,Tidak diketahui
Jayla ENHYPEN IS 7,@puppyjake002,"Kayaknya gue lagi se stress itu dan segelisah itu yaa sama hidup, akhir2 ini klu tidur lampu mati sering gk tenang tidurnya mimpi aneh, td malem udah doa jg sebelum tidur aku tetep ketindihan Apr 1",Infrastruktur & Jalan,Belum Dilabeli,Belum Dilabeli,Tidak diketahui
RuangPekanbaru,@wita1118931,"Pemko Pekanbaru Siapkan Rp100 Miliar untuk Perbaikan Jalan Rusak Tahun 2026
selengkapnya..
Jangan lupa follow & kunjungi sosial media kami! https:// Apr 1",Infrastruktur & Jalan,Belum Dilabeli,Belum Dilabeli,Tidak diketahui
Nda !,@denni_sauya,Padahal jalan rusak sdh byk dikeluhkan oleh masyarakat tp kok Pemda spt slow merespon Apr 1,Infrastruktur & Jalan,Belum Dilabeli,Belum Dilabeli,Tidak diketahui
Stoberi Nyan~,@xuanxiuer,"Olahraga dan minum susu sebelum tidur bisa bikin tidur lebih cepat sih beb
Coba olahraga malam malam biar badannya capek
Awalnya emang susah sih tapi cobain aja dulu telentang tutup mata dan lampu mati ya Apr 1",Infrastruktur & Jalan,Belum Dilabeli,Belum Dilabeli,Tidak diketahui
,@styupithiumen,untung pacarku smsm suka tidur lampu mati Apr 1,Infrastruktur & Jalan,Belum Dilabeli,Belum Dilabeli,Tidak diketahui
Masyfuk Zuhdi,@darjofess,"Kudune jalan rusak urusan Pemkab dewe rek, urusan tiket biarlah untuk kemajuan Deltras dan pembinaan pemain muda! Jangan bebankan tugas negara ke kantong suporter."" Apr 1",Infrastruktur & Jalan,Belum Dilabeli,Belum Dilabeli,Tidak diketahui
Portal Tuban,@PortalTuban,"Setelah sebelumnya warga Dusun Ngaglik, Desa Ngujuran, Kecamatan Bancar memperbaiki jalan rusak secara swadaya, kini giliran warga Dusun Ngemplak yang melakukan hal serupa. Apr 1",Infrastruktur & Jalan,Belum Dilabeli,Belum Dilabeli,Tidak diketahui
KuninganMass,@kuninganmass,Apr 1,Infrastruktur & Jalan,Belum Dilabeli,Belum Dilabeli,Tidak diketahui
Sangkala.id,@Beritaintermezo,"Target 100 KM, Pemko Pekanbaru Genjot Perbaikan Jalan, 42 Km Jalan Rusak Ditargetkan Mulus Tahun Ini Apr 1",Infrastruktur & Jalan,Belum Dilabeli,Belum Dilabeli,Tidak diketahui
Sea,@pidatow,Mau bikin jalan rusak yapak Apr 1,Infrastruktur & Jalan,Belum Dilabeli,Belum Dilabeli,Tidak diketahui
upperdogman,@zevasptri,tidur klo lampu mati kaya ad yg liatin sial Apr 1,Infrastruktur & Jalan,Belum Dilabeli,Belum Dilabeli,Tidak diketahui
wd.,@zevasptri,gabisa bgt tidur la mpu mati Apr 1,Infrastruktur & Jalan,Belum Dilabeli,Belum Dilabeli,Tidak diketahui
zee,@TINTINQLIZARDO,lebih ke adem matanya kalo tidur lampu mati Apr 1,Infrastruktur & Jalan,Belum Dilabeli,Belum Dilabeli,Tidak diketahui
zee,@eeeipy,tp klo lampu mati tdrnya lebih nyenyak Apr 1,Infrastruktur & Jalan,Belum Dilabeli,Belum Dilabeli,Tidak diketahui
Jumark's Daughter.,@rodipanggang,"Terus pas diajak main ke rumah baru shockkk. 

Dramanya dibuat kya im tee me too aja yang konfliknya sebatas lampu mati , anjing kabur, hantu, gosip maling, pasti lucu banget! 

Terus nanti tiap ep ada guestnyaa. Apr 1",Infrastruktur & Jalan,Belum Dilabeli,Belum Dilabeli,Tidak diketahui
Azwar Rozali,@azwar6102,"Rp 20M dengan 40an kali kunjungan, berapa km jalan rusak bisa diperbaiki dengan dana sebesar itu, atau berapa ribu mahasiswa bisa gratis kuliah. Apr 1",Infrastruktur & Jalan,Belum Dilabeli,Belum Dilabeli,Tidak diketahui
Linda,@tanyarlfes,"Aku sebelum nikah lampu mati , setelah nikah Apr 1",Infrastruktur & Jalan,Belum Dilabeli,Belum Dilabeli,Tidak diketahui
Kris Zzh,@zzhkris,Hujan angin plus lampu mati . Lengkap sudah Apr 1,Infrastruktur & Jalan,Belum Dilabeli,Belum Dilabeli,Tidak diketahui
dvit,@nadavitt,kenapa lampu mati dikit jadi ngantuk  bangett Apr 1,Infrastruktur & Jalan,Belum Dilabeli,Belum Dilabeli,Tidak diketahui
Gasuka So cowok jelek,@SukaCowoMenarik,",

Gue tidur nggak ngorok nggak ileran, jadi gue berharap banget jodoh gue tidurnya nggak ngorok nggak ileran juga. 

Kalo tentang lampu nyala atau lampu mati , gampang lah, gue bisa menyesuaikan Apr 1",Infrastruktur & Jalan,Belum Dilabeli,Belum Dilabeli,Tidak diketahui
Kyotogpro,@zevasptri,"yo guys, kelen kalau takut tidur dalam keadaan lampu mati mending cobain deh pelan"" beli lampu tidur yang agak redup.  aku dahlama gatidur nyenyak aku coba beberapa cara dan salah satuny make penutup mata dan matikan lampu. dan sampe skrng aku tidur Apr 1",Infrastruktur & Jalan,Belum Dilabeli,Belum Dilabeli,Tidak diketahui
N€V€R∆,@FZA_007,"Ibu Ratna terpaksa melahirkan di tengah jalan saat menuju puskesmas karena akses 1.1K jalan rusak dan sulit dilalui kendaraan biasa. Peristiwa ini terjadi di Desa Kopeang, Mamuju. Warga berharap pemerintah segera memperbaiki akses jalan agar kejadian serupa tidak terulang. Apr 1",Infrastruktur & Jalan,Belum Dilabeli,Belum Dilabeli,Tidak diketahui
Evra Aba,@xquitavee,"Jalan rusak di desa Kuwiran Kecamatan Banyudono Kabupaten Boyolali, menghambat hilirisasi di sektor peternakan Apr 1",Infrastruktur & Jalan,Belum Dilabeli,Belum Dilabeli,Tidak diketahui
Kendarikini,@kendarikin3423,Apr 1,Infrastruktur & Jalan,Belum Dilabeli,Belum Dilabeli,Tidak diketahui
POROS KUANSING,@Poros_Kuansing,Gebrakan Bupati Suhardiman! Sawit Dipungut Rp20/Kg dengan Target Rp240 Miliar—PKS Wajib Setor untuk Perbaiki Jalan Rusak ! Apr 1,Infrastruktur & Jalan,Belum Dilabeli,Belum Dilabeli,Tidak diketahui
Monochrome,@mono_khrom,"ini kacamata keknya beneran nyatu ke kepala.. sering banget ga nyadar make atw kaga, terutama di kamar lampu mati , blur / kaga gabisa dibedain.. jdnya kudu deketin tangan ke mata buat ngecek, ""lagi kacamataan ga ni"" Apr 1",Infrastruktur & Jalan,Belum Dilabeli,Belum Dilabeli,Tidak diketahui
𝙾𝚕𝚒𝚟𝚎 𝙾𝚒𝚕,@zevasptri,Untung skrg aku dah nyaman tidur kalau lampu mati . Tinggal cari pasangannya aja Apr 1,Infrastruktur & Jalan,Belum Dilabeli,Belum Dilabeli,Tidak diketahui
𐙚 ๋࣭ ⭑ brr brr patapim,@tanyarlfes,ak lampu mati atau nyala bisa tidur kok kak Apr 1,Infrastruktur & Jalan,Belum Dilabeli,Belum Dilabeli,Tidak diketahui
Daeng Bang,@daengbang06,"Akuh orang mamuju. Dari kota kecamatan menuju Desa Kopeang HARUS MOBIL 4x4, kalok truk yg 6 ato 10 ban bannya di lilit2 make rante besi agar bisa nanjak.
Tanjakan tinggi, jalan rusak dan berlumpur Apr 1",Infrastruktur & Jalan,Belum Dilabeli,Belum Dilabeli,Tidak diketahui
skai ⚝,@4SHOrui,kk lui boboknya nutup mata terus apa dy tim lampu mati iya?? Apr 1,Infrastruktur & Jalan,Belum Dilabeli,Belum Dilabeli,Tidak diketahui
BoldOpinions⋆｡˚𓇼 ⋆｡˚,@CPtanyarl,"Kalah tuh kalau berhenti berusaha. Kalau masih mikirin ini, berarti belum kalah, kok. Idealisme itu kayak kompas: dia kasih tahu arah utara jalan lurus, penuh prinsip, sesuai nilai yang lu yakini. Tapi realitas itu medannya. Kadang ada jurang, tembok, atau jalan rusak yang - Apr 1",Infrastruktur & Jalan,Belum Dilabeli,Belum Dilabeli,Tidak diketahui
Alviaannnn,@AlvianB48,Lampu mati 2.2K = End Live Apr 1,Infrastruktur & Jalan,Belum Dilabeli,Belum Dilabeli,Tidak diketahui
evan ⚯ ͛,@vanstrocytes,APA CB TBTB LAMPU MATI WKWKKWW Apr 1,Infrastruktur & Jalan,Belum Dilabeli,Belum Dilabeli,Tidak diketahui
mellymillo,@mellymillo23,Gila ada seorang ibu di Mamuju terpaksa harus melahirkan di tengah jalan karena terhalang jalan rusak . Bayangin seburuk apa korupsi yang mereka lakukan sehingga rakyatnya gak bisa dapet akses jalan yang baik ?! Buat apa apbn kalo gak dibuat perbaikan jalan ?? Miris Mar 31,Infrastruktur & Jalan,Belum Dilabeli,Belum Dilabeli,Tidak diketahui
Rangkang Pie,@beulangong174,"FEATURE | Menantang Maut di Tali Jembatan Putus Beutong Ateuh, Mar 31",Infrastruktur & Jalan,Belum Dilabeli,Belum Dilabeli,Tidak diketahui
gal ★ head over heels,@mildamiee,"IH SAMA, saking sukanya baca jd ampe org tidur, lampu mati masih tetep lanjut Mar 31",Infrastruktur & Jalan,Belum Dilabeli,Belum Dilabeli,Tidak diketahui
Grok,@yassinasco,"Manfaat tidur lampu mati :

- Produksi melatonin optimal → tidur nyenyak, cepat pulih.
- Ritme sirkadian sehat, kurangi risiko obesitas, diabetes, hipertensi.
- Kurangi stres & depresi.
- Kesehatan metabolik & jantung lebih baik.

Studi UCLA & NIH dukung ini. Matikan lampu malam Mar 31",Infrastruktur & Jalan,Belum Dilabeli,Belum Dilabeli,Tidak diketahui
✶,@nugusiyu,abis mandi pake scrub & lotion.... wangi maksimal.... hujan.... dingin.... selimutan.... lampu mati .... pake diffuser lavender di kamar.... nikmat bgt makasih yaallah.... Mar 31,Infrastruktur & Jalan,Belum Dilabeli,Belum Dilabeli,Tidak diketahui
RATU MALING,@banten_pemprov,"ANJING INFRASTRUKTUR MASIH BANYAK YANG RUSAK, ANJING. ADA ORANG YG MATI GARA2 JALAN RUSAK Mar 31",Infrastruktur & Jalan,Belum Dilabeli,Belum Dilabeli,Tidak diketahui
Rijuann.,@agsha_rijuan,"ditengah proses kita mencari jati diri dan tujuan hidup, selalu dan akan selalu dapet jalan rusak bahkan bergelombang Mar 31",Infrastruktur & Jalan,Belum Dilabeli,Belum Dilabeli,Tidak diketahui
JohnBanting03,@JohnBanting03,Jalan rusak kmaren udah dibenerin blm beb... Mar 31,Infrastruktur & Jalan,Belum Dilabeli,Belum Dilabeli,Tidak diketahui
anas,@mkini_bm,"Ketawa kerana jalan berlubang dan rosak, jalan tiada ruangan basikal dan tempat kerja tiada bilik mandi. Mar 31",Infrastruktur & Jalan,Belum Dilabeli,Belum Dilabeli,Tidak diketahui
radarbangsa.com,@radarbangsa_com,"Ibu Melahirkan di Tengah Jalan Rusak , Nihayatul Wafiroh Soroti Ketimpangan Akses Kesehatan Mar 31",Infrastruktur & Jalan,Belum Dilabeli,Belum Dilabeli,Tidak diketahui
NusaBali.com,@nusabalicom,"Warga Banjar Tatag, Desa Taro, Kecamatan Tegallalang, menambal jalan berlubang secara gotong royong secara swadaya. Inisiatif warga ini lantaran khawatir terhadap keselamatan pengguna jalan. Mar 31",Infrastruktur & Jalan,Belum Dilabeli,Belum Dilabeli,Tidak diketahui
minul,@basebuku,"Last Days dan The Graveyard Apartment, dua buku ini dijamin merinding ga bisa tidur dgn lampu mati Mar 31",Infrastruktur & Jalan,Belum Dilabeli,Belum Dilabeli,Tidak diketahui
Superdad,@WagimanDeep212_,Jalan rusak didiemin si paling Marwah ni Mar 31,Infrastruktur & Jalan,Belum Dilabeli,Belum Dilabeli,Tidak diketahui
IP Rangga,@kuterculik,"Currently, the Nglebak Village community is independently building a 1.5-kilometre district road, and the results will be reported to all donors. Mar 31",Infrastruktur & Jalan,Belum Dilabeli,Belum Dilabeli,Tidak diketahui
Polres Belu,@polres_belu,"Personel Polsek Raimanuk, Polres Belu sigap memasang police line di lokasi jalan berlubang akibat longsor sebagai langkah antisipasi demi keselamatan pengguna jalan. Mar 31",Infrastruktur & Jalan,Belum Dilabeli,Belum Dilabeli,Tidak diketahui
Summer,@seblaksiput,"Kenapa banyak bgt cobaan di rumah tiap laki gw lagi berlayar ya keran bocor, selang copot, lampu mati Mar 31",Infrastruktur & Jalan,Belum Dilabeli,Belum Dilabeli,Tidak diketahui
Pakkia,@bharianmy,"Asyik nak tuding jari kat orang ajer. Jenis bingai dan dongoi mmg x boleh bawa bincang. Woi dongoi punya menteri, kalau jalan berlubang sebelum krajaan Madani, pak menteri bingai ni nak salahkan kerajaan dulu juga ka. Cap Ayam Mar 31",Infrastruktur & Jalan,Belum Dilabeli,Belum Dilabeli,Tidak diketahui
JhdR,@LambeSahamjja,Yang di pulau jawa aja masih banyak jalan rusak min di daerah2. Bahkan banyak yg kecelakaan motor karna Mar 31,Infrastruktur & Jalan,Belum Dilabeli,Belum Dilabeli,Tidak diketahui
Fraksi PKB DPR RI,@FraksiPKB,"“ Jalan rusak bukan hanya persoalan infrastruktur, tetapi bisa menjadi penentu antara keselamatan dan kehilangan nyawa. Ketika akses menuju layanan kesehatan terhambat, masyarakat berada dalam risiko besar,” ujar perempuan yang akrab disapa Ninik Mar 31",Infrastruktur & Jalan,Belum Dilabeli,Belum Dilabeli,Tidak diketahui
Fraksi PKB DPR RI,@FraksiPKB,"Wakil Ketua Komisi IX DPR RI, Nihayatul Wafiroh, menegaskan bahwa persoalan jalan rusak tidak bisa dipandang semata sebagai isu infrastruktur, melainkan menyangkut keselamatan jiwa. Mar 31",Infrastruktur & Jalan,Belum Dilabeli,Belum Dilabeli,Tidak diketahui
Naomi YM Napitupulu,@pln_123,"Tagihan dibayar gak boleh telat tp lampu mati berjam2 asik disuruh nunggu astagaaaaa klo gak ada anak kecil gue gak akan berisik
Ini anak gue nangis2 dua2 nya apagak makin mau pecah kepala
Apalagi dibekasi itu listrik mati ya air mati jg Mar 31",Infrastruktur & Jalan,Belum Dilabeli,Belum Dilabeli,Tidak diketahui
IP Rangga,@kuterculik,"According to data from the Tangerang Police, over the last two weeks, four fatal accidents have occurred in the Pasar Kemis area. Mar 31",Infrastruktur & Jalan,Belum Dilabeli,Belum Dilabeli,Tidak diketahui
darkside,@darkside_gurl,"intinya tiap nabrak jalan berlubang , yang gua tololin pertama kali adalah pemerintah Mar 31",Infrastruktur & Jalan,Belum Dilabeli,Belum Dilabeli,Tidak diketahui
vallᧉy,@valleeriz,Lampu mati Mar 31,Infrastruktur & Jalan,Belum Dilabeli,Belum Dilabeli,Tidak diketahui
Kendarikini,@kendarikin3423,Mar 31,Infrastruktur & Jalan,Belum Dilabeli,Belum Dilabeli,Tidak diketahui
Pado Sutan,@Pado_Sutan,"Kampung Maling, Rampok, Penadah PATI minta keadilan atas jalan rusak , pemerintah di JAWA pasti melindungi para maling itu Mar 31",Infrastruktur & Jalan,Belum Dilabeli,Belum Dilabeli,Tidak diketahui
Jalan Rusak,@JalanRusakRI,Mar 31,Infrastruktur & Jalan,Belum Dilabeli,Belum Dilabeli,Tidak diketahui
dengdeng,@silmarillion_22,"mati lampu + mati air, udahlah tidur aja sampe dikabarin nyala Mar 31",Infrastruktur & Jalan,Belum Dilabeli,Belum Dilabeli,Tidak diketahui
@fuune,@criesofbtterfly,"sampe SMP ku msh suka ngebolang, pas SD inget banget pernah main di kubangan air (yang jalan rusak gitu lho, kubangannya gede and agak dalem waktu itu, jadi klo anak SD bisa berendam2 gitu) deket sekolah sampe dimarahin ama antar jemputku, krn kita se anjem basah semua wkkwkwkwk Mar 31",Infrastruktur & Jalan,Belum Dilabeli,Belum Dilabeli,Tidak diketahui
rosy,@jessjjey,"Langganan bgt sakit punggung sampe leher hampir tiap PMS. Sakitnya tu sakiiittt bgt Kalau tete, membengkak & memadat. Ngilu kalo berkendara & lewatin polisi tidur atau jalan berlubang² Mar 31",Infrastruktur & Jalan,Belum Dilabeli,Belum Dilabeli,Tidak diketahui
Kintakun Collection,@Kintakun_ID,"kamu tim lampu nyala or tim lampu mati pas bobo?

menurut keyakinan saya lebih baik kalo bobo lampunya jangan terlalu terang

fix ini ngaruh.. kalo lampu masih terang banget, badan tuh kayak belum diajak istirahat.

coba lampu yang lebih warm, biar vibesnya makin relax Mar 31",Infrastruktur & Jalan,Belum Dilabeli,Belum Dilabeli,Tidak diketahui
akun hewan | tapi bukan,@miolistrik,"kalo betul2 mikirin prioritas, masih ada banyak banget sekolah reyot, jembatan putus , Mar 31",Infrastruktur & Jalan,Belum Dilabeli,Belum Dilabeli,Tidak diketahui
tito alba,@groobaag,"Jalan rusak bukan takdir, tapi hasil dari ‘nanti dulu’. Kapan dapat perhatian? Mar 31",Infrastruktur & Jalan,Belum Dilabeli,Belum Dilabeli,Tidak diketahui
paindol,@Vndp__,Jalan berlubang ......bukan lubang berjalan Mar 31,Infrastruktur & Jalan,Belum Dilabeli,Belum Dilabeli,Tidak diketahui
Gilsssss,@gilaaaangssss,"Kalau perjalanan malam naik bus. Kursinya lbh enak, dapet makan, lampu mati jadi bisa tidur. Kecuali dikejar waktu, bus tetep jadi pilihan utama. Mar 31",Infrastruktur & Jalan,Belum Dilabeli,Belum Dilabeli,Tidak diketahui
Si Paling Gen Z,@txtdarigenz97,"Seorang Ibu Terpaksa Melahirkan di Pinggir Jalan Akibat 5.8K Jalan Rusak . 

Berdasarkan informasi, kondisi itu terjadi karna sulitnya kendaraan melintas akibat Jalan yang jelek

Proses persalinan terpaksa harus dilakukan sebelum ibu itu mencapai fasilitas kesehatan. 
Kejadian ini Mar 31",Infrastruktur & Jalan,Belum Dilabeli,Belum Dilabeli,Tidak diketahui
Pi Network Bangfath,@arulfatih24,"Jangan kan Mulyono yg presiden dgn bejibun borok... Sekelas lurah di desa aja kalo udh di akhir masa jabatannya.. Yg di pikirin cuma nimbun kekayaan buat masa pensiun.. Rakyat susah, π , dll. Mana perduli.. Malah yg ada sibuk mikirin siapa penerus dia selanjutnya. Mar 31",Infrastruktur & Jalan,Belum Dilabeli,Belum Dilabeli,Tidak diketahui
ronny_al_azhar,@asriyahcantik,Jalan rusak maka becek mulu Mar 31,Infrastruktur & Jalan,Belum Dilabeli,Belum Dilabeli,Tidak diketahui
Kaito.,@Menjjulang,"Dua hal itu valid
Kaki keras terutama jalan rusak , kekedapan kurang pas hujan tp kok saya ngerasa malah berisiknya dari kaca depan, road noise bisa diatasi ganti ban tp menurut saya ga terlalu berisik juga

Yg bikin menang banget tentu adaptive cruise control, irit dan tenaga ok Mar 31",Infrastruktur & Jalan,Belum Dilabeli,Belum Dilabeli,Tidak diketahui
Berita Jakarta,@BeritaJakarta,Munjirin Instruksikan Jalan Rusak di Jaktim Segera Diperbaiki Mar 31,Infrastruktur & Jalan,Belum Dilabeli,Belum Dilabeli,Tidak diketahui
Rey,@reyhan_abdi,"ini total PPH21 yang harus gw bayar bulan ini, gede parah. yang lebih menyakitkan, pajak gw dikorup dan gw ga dapat timbal balik. jalan rusak , pendidikan jelek, kesehatan jelek. Mar 31",Infrastruktur & Jalan,Belum Dilabeli,Belum Dilabeli,Tidak diketahui
boby,@Xbacottetangga,Ahh mana busa lewat jalan berlubang Mar 31,Infrastruktur & Jalan,Belum Dilabeli,Belum Dilabeli,Tidak diketahui
ahlul yapping,@nihaaa_yah,"Ora ngerti mati murupe. Gur krungu mertuo mbengok, lampu mati kr wis murup. Mar 31",Infrastruktur & Jalan,Belum Dilabeli,Belum Dilabeli,Tidak diketahui
Bokirr,@pecintahayam,"penerangan kurang, jalan rusak , pungli, tanpa walikota Mar 31",Infrastruktur & Jalan,Belum Dilabeli,Belum Dilabeli,Tidak diketahui
"Vanka, A",@justforVan_ka,"Aku pernah ngobrol sama ayang perkara | DM cek pinned post Semarang vs Magelang (our hometown), trs dia bilang, ""di Magelang gaada Mar 31",Infrastruktur & Jalan,Belum Dilabeli,Belum Dilabeli,Tidak diketahui
Markuwat,@Martogog23,https:// v7FQ?si=ytyIr-Q7G87bxgVd … https:// Mar 31,Infrastruktur & Jalan,Belum Dilabeli,Belum Dilabeli,Tidak diketahui
𝙩𝙮𝙖.,@shdtyaa,gbs tidur krn lampu mati arghh Mar 31,Infrastruktur & Jalan,Belum Dilabeli,Belum Dilabeli,Tidak diketahui
Xedeo,@dosenkesmas,"Ya kalo kamar mandi kontrakan gw sih bukannya rileks malah tegang yg ada Klo ada kucing lewat kan tegang duluan yak
Pernah sekali boker pas lampu mati Mar 31",Infrastruktur & Jalan,Belum Dilabeli,Belum Dilabeli,Tidak diketahui
Ken Kesey,@berhomonim,"Orang-orang di negara lain bisa hidup dengan kualitas sepremium ini. Aku setiap hari hidup cuma bisa lihat jalan rusak , trotoar hancur, lampu jalan pecah. Memang ya negaramu adalah nasib yang gak bisa kamu sangkal. Mar 31",Infrastruktur & Jalan,Belum Dilabeli,Belum Dilabeli,Tidak diketahui
Selinya,@kangm1in,"Boro-boro mau rileks, sepersekian detik lampu mati napas pun langsung sesak. Bukan takut ada sesuatu di pojok kamar mandi tapi kayak oksigen tiba-tiba sekarat. Mar 31",Infrastruktur & Jalan,Belum Dilabeli,Belum Dilabeli,Tidak diketahui
َ,@shuorai,"Prefer lampu mati , nyaman buat mata. Mar 31",Infrastruktur & Jalan,Belum Dilabeli,Belum Dilabeli,Tidak diketahui
Ultras,@insidefolkative,"Jalanan kota banyak lubang galian kabel optik kacau ga pernah bener tuhh kerjaannya ,banyak yang celaka gara² jalan berlubang ,,pejabat tutup mata ,yang penting uang masuk ,, Mar 31",Infrastruktur & Jalan,Belum Dilabeli,Belum Dilabeli,Tidak diketahui
zzz,@em_er_zet,loh gaktau aja kalo malem2 pas 61K lampu mati semua gimana Mar 31,Infrastruktur & Jalan,Belum Dilabeli,Belum Dilabeli,Tidak diketahui
Lovely,@Ribka_JKT48,"setuju tim lampu mati , met bobo ribii Mar 31",Infrastruktur & Jalan,Belum Dilabeli,Belum Dilabeli,Tidak diketahui
사,@evanndeer,keinget pas fate+ unexpected banget gue nangis di still monster 11K lampu mati Mar 31,Infrastruktur & Jalan,Belum Dilabeli,Belum Dilabeli,Tidak diketahui
fakay,@Ribka_JKT48,yoi sama tim lampu mati Mar 31,Infrastruktur & Jalan,Belum Dilabeli,Belum Dilabeli,Tidak diketahui
News Update,@javascornercoid,"Jalan Rusak Sintang Viral, Bupati: Sudah Diusulkan Perbaikan - baca selengkapnya: … Mar 31",Infrastruktur & Jalan,Belum Dilabeli,Belum Dilabeli,Tidak diketahui
"Adimurti, Harjuna Yasa.",@hrjnys,"Sebetulnya, kontur jalan seperti ini tentu bukan hal yang sulit bagi Yasa. Ia justru jauh lebih akrab dengan medan 𝘰𝘧𝘧-𝘳𝘰𝘢𝘥 yang berkali-kali lebih kasar daripada sekadar jalan berlubang. Hanya saja, di jalan seperti ini ia harus jauh lebih berhati-hati ... Mar 30",Infrastruktur & Jalan,Belum Dilabeli,Belum Dilabeli,Tidak diketahui
minis 𔓘(^•ㅅ•^)𔓘,@yopetals,"Batreku habis, lampu mati mending apa mending tidur Mar 30",Infrastruktur & Jalan,Belum Dilabeli,Belum Dilabeli,Tidak diketahui
rafdzr,@Ribka_JKT48,Tim la mp u mati Mar 30,Infrastruktur & Jalan,Belum Dilabeli,Belum Dilabeli,Tidak diketahui
Serene,@whosthatrene,yeay aku udah berani tidur dengan lampu mati :D Mar 30,Infrastruktur & Jalan,Belum Dilabeli,Belum Dilabeli,Tidak diketahui
Jerden,@Ribka_JKT48,"Tergantung, klo uda ngantuk berat bisa aja..tp klo blm, ya ga bisa juga, harus banget lampu mati Mar 30",Infrastruktur & Jalan,Belum Dilabeli,Belum Dilabeli,Tidak diketahui
D.aprelio,@CErine_JKT48,takutan kmu mh pdhl tdr dlm keadaan lampu mati enak tau lebih nyaman tp gapapa semua butuh proses Mar 30,Infrastruktur & Jalan,Belum Dilabeli,Belum Dilabeli,Tidak diketahui
Devia Cahyani,@Ribka_JKT48,Team selalu lampu mati kalau tidur Mar 30,Infrastruktur & Jalan,Belum Dilabeli,Belum Dilabeli,Tidak diketahui
Leonn,@terapisz,hrs bgt nih lampu mati skrg??? Mar 30,Infrastruktur & Jalan,Belum Dilabeli,Belum Dilabeli,Tidak diketahui
